order_id,restaurant_id,driver_id,order_datetime,order_date,order_hour,day_of_week,is_weekend,status,num_items,subtotal_lkr,delivery_fee_lkr,discount_lkr,total_lkr,commission_lkr,payment_method,delivery_time_min,cancel_reason,customer_rated,customer_rating
ORD000055,R179,D082,2024-01-01 13:57:00,2024-01-01,13,Monday,0,Delivered,5,672.79,99.38,26.73,745.44,122.45,UberCash,17.6,,0,
ORD000056,R104,D240,2024-01-01 11:02:00,2024-01-01,11,Monday,0,Delivered,2,1982.34,161.71,5.05,2139.0,465.85,Card,21.3,,0,
ORD000057,R043,D054,2024-01-01 19:04:00,2024-01-01,19,Monday,0,Delivered,1,1452.77,189.54,0.0,1642.31,450.36,UberCash,50.9,,1,3.3
ORD000058,R012,D174,2024-01-01 12:43:00,2024-01-01,12,Monday,0,Delivered,1,2115.12,208.89,360.42,1963.59,585.89,Cash,54.9,,1,
ORD000059,R179,D159,2024-01-01 20:05:00,2024-01-01,20,Monday,0,Delivered,3,418.98,148.13,0.0,567.11,76.25,Corporate,19.7,,0,3.8
ORD000060,R048,D067,2024-01-01 09:46:00,2024-01-01,9,Monday,0,Delivered,2,301.73,234.91,0.0,536.64,59.44,Corporate,28.8,,1,3.7
ORD000061,R009,D077,2024-01-01 14:31:00,2024-01-01,14,Monday,0,Delivered,4,5790.86,90.77,0.0,5881.63,1783.58,Cash,24.6,,0,
ORD000062,R095,D057,2024-01-01 13:46:00,2024-01-01,13,Monday,0,Delivered,3,3493.05,189.04,577.36,3104.73,950.11,Card,47.0,,1,
ORD000063,R145,D280,2024-01-01 20:55:00,2024-01-01,20,Monday,0,Delivered,4,3825.79,136.25,387.88,3574.16,1216.6,Corporate,36.5,,1,3.9
ORD000064,R163,D266,2024-01-01 07:31:00,2024-01-01,7,Monday,0,Delivered,1,743.19,206.69,59.97,889.91,166.47,Card,16.8,,0,
ORD000065,R178,D181,2024-01-01 21:35:00,2024-01-01,21,Monday,0,Delivered,4,10818.56,141.77,482.33,10478.0,3072.47,Corporate,44.8,,0,3.9
ORD000066,R028,D131,2024-01-01 00:22:00,2024-01-01,0,Monday,0,Cancelled,3,655.39,143.56,117.56,681.39,128.46,Corporate,,Customer cancelled,0,
ORD000067,R072,D116,2024-01-01 10:59:00,2024-01-01,10,Monday,0,Cancelled,2,1431.81,212.84,0.0,1644.65,375.13,Corporate,,Customer cancelled,0,
ORD000068,R183,D074,2024-01-01 19:28:00,2024-01-01,19,Monday,0,Delivered,5,1058.9,102.89,0.0,1161.79,225.55,Card,27.6,,1,4.2
ORD000069,R146,D105,2024-01-01 18:11:00,2024-01-01,18,Monday,0,Delivered,2,1192.85,191.78,0.0,1384.63,283.9,Corporate,26.7,,1,
ORD000070,R199,D147,2024-01-01 11:21:00,2024-01-01,11,Monday,0,Refunded,4,1343.99,103.49,0.0,1447.48,291.65,UberCash,,,0,
ORD000071,R089,D129,2024-01-01 10:39:00,2024-01-01,10,Monday,0,Delivered,3,6082.44,102.55,0.0,6184.99,1903.8,Cash,55.3,,1,
ORD000072,R091,D070,2024-01-01 19:35:00,2024-01-01,19,Monday,0,Delivered,5,2049.01,200.72,0.0,2249.73,407.75,UberCash,40.0,,0,3.0
ORD000073,R031,D015,2024-01-01 12:03:00,2024-01-01,12,Monday,0,Delivered,2,4550.29,213.54,0.0,4763.83,1246.78,Cash,54.9,,0,
ORD000074,R082,D120,2024-01-01 19:02:00,2024-01-01,19,Monday,0,Delivered,4,1567.41,227.57,0.0,1794.98,360.5,Corporate,40.5,,1,
ORD000075,R200,D173,2024-01-01 18:03:00,2024-01-01,18,Monday,0,Cancelled,4,3012.71,213.98,0.0,3226.69,813.43,Card,,Customer cancelled,0,
ORD000076,R071,D119,2024-01-01 17:49:00,2024-01-01,17,Monday,0,Cancelled,4,5214.55,234.95,0.0,5449.5,1413.14,Cash,,Restaurant rejected,0,
ORD000077,R082,D266,2024-01-01 10:43:00,2024-01-01,10,Monday,0,Delivered,2,1074.91,100.29,60.0,1115.2,247.23,Cash,22.5,,1,3.7
ORD000078,R044,D023,2024-01-01 09:20:00,2024-01-01,9,Monday,0,Delivered,5,12043.76,131.2,0.0,12174.96,3697.43,Card,46.2,,0,3.4
ORD000079,R053,D038,2024-01-01 19:10:00,2024-01-01,19,Monday,0,Delivered,5,8048.03,139.4,0.0,8187.43,2446.6,UberCash,46.0,,1,4.5
ORD000080,R151,D284,2024-01-01 23:52:00,2024-01-01,23,Monday,0,Delivered,1,843.79,138.82,108.39,874.22,234.57,Cash,47.4,,0,
ORD000081,R091,D226,2024-01-01 21:07:00,2024-01-01,21,Monday,0,Delivered,5,1872.78,84.2,0.0,1956.98,372.68,Corporate,36.3,,1,4.3
ORD000082,R091,D050,2024-01-01 21:10:00,2024-01-01,21,Monday,0,Refunded,5,1719.04,186.58,216.43,1689.19,342.09,Corporate,,Customer cancelled,0,
ORD000083,R059,D257,2024-01-01 17:04:00,2024-01-01,17,Monday,0,Delivered,2,1323.81,201.87,19.39,1506.29,326.98,UberCash,23.5,,1,3.5
ORD000084,R073,D239,2024-01-01 13:40:00,2024-01-01,13,Monday,0,Delivered,3,6000.65,194.46,0.0,6195.11,1854.2,Card,54.0,,0,4.4
ORD000085,R021,D213,2024-01-01 21:06:00,2024-01-01,21,Monday,0,Delivered,3,776.23,127.86,0.0,904.09,158.35,Card,23.8,,1,3.3
ORD000086,R113,D177,2024-01-01 22:09:00,2024-01-01,22,Monday,0,Delivered,3,7863.79,81.9,0.0,7945.69,2422.05,Card,34.7,,1,4.1
ORD000087,R024,D182,2024-01-01 10:47:00,2024-01-01,10,Monday,0,Cancelled,3,1982.47,233.96,0.0,2216.43,471.83,Cash,,Restaurant rejected,0,
ORD000088,R177,D149,2024-01-01 10:11:00,2024-01-01,10,Monday,0,Delivered,5,1302.76,224.74,0.0,1527.5,268.37,Corporate,42.0,,0,4.3
ORD000089,R071,D059,2024-01-01 10:37:00,2024-01-01,10,Monday,0,Delivered,3,3149.9,194.12,179.63,3164.39,853.62,Cash,22.8,,1,4.2
ORD000090,R087,D090,2024-01-01 15:23:00,2024-01-01,15,Monday,0,Delivered,4,1040.88,133.25,0.0,1174.13,215.46,Corporate,34.3,,1,4.4
ORD000091,R093,D286,2024-01-01 13:22:00,2024-01-01,13,Monday,0,Delivered,4,3114.85,109.88,0.0,3224.73,825.44,Cash,42.5,,0,4.5
ORD000092,R180,D045,2024-01-01 19:57:00,2024-01-01,19,Monday,0,Delivered,5,1281.34,218.15,0.0,1499.49,235.77,Cash,35.4,,0,4.1
ORD000093,R155,D281,2024-01-01 18:09:00,2024-01-01,18,Monday,0,Delivered,2,1660.02,180.23,0.0,1840.25,385.12,Card,20.7,,1,4.3
ORD000094,R177,D097,2024-01-01 19:08:00,2024-01-01,19,Monday,0,Delivered,2,460.35,176.19,0.0,636.54,94.83,Corporate,16.5,,0,4.5
ORD000095,R066,D036,2024-01-01 11:14:00,2024-01-01,11,Monday,0,Delivered,2,3241.28,214.55,0.0,3455.83,965.9,Card,52.8,,1,
ORD000096,R030,D165,2024-01-01 20:16:00,2024-01-01,20,Monday,0,Delivered,5,1307.33,191.12,0.0,1498.45,264.08,Card,32.5,,1,4.8
ORD000097,R148,D238,2024-01-01 12:55:00,2024-01-01,12,Monday,0,Delivered,4,9592.13,81.12,0.0,9673.25,2599.47,Cash,42.5,,1,
ORD000098,R061,D088,2024-01-01 10:23:00,2024-01-01,10,Monday,0,Delivered,1,632.94,150.48,0.0,783.42,156.34,Corporate,19.0,,1,4.3
ORD000099,R119,D014,2024-01-01 11:08:00,2024-01-01,11,Monday,0,Delivered,2,1113.0,167.15,0.0,1280.15,258.22,Cash,20.8,,1,4.9
ORD000100,R171,D011,2024-01-01 20:46:00,2024-01-01,20,Monday,0,Delivered,3,1213.55,116.82,0.0,1330.37,242.71,Corporate,27.3,,1,
ORD000101,R171,D085,2024-01-01 19:52:00,2024-01-01,19,Monday,0,Delivered,5,1794.22,124.97,0.0,1919.19,358.84,Corporate,23.5,,1,3.8
ORD000102,R037,D065,2024-01-01 01:33:00,2024-01-01,1,Monday,0,Cancelled,5,2613.95,220.51,0.0,2834.46,588.14,Card,,,0,
ORD000103,R144,D071,2024-01-01 07:42:00,2024-01-01,7,Monday,0,Delivered,5,4607.43,80.2,0.0,4687.63,1027.46,Corporate,39.0,,1,3.1
ORD000104,R151,D253,2024-01-01 11:51:00,2024-01-01,11,Monday,0,Delivered,4,3839.28,216.79,0.0,4056.07,1067.32,Card,45.0,,1,4.5
ORD000105,R024,D171,2024-01-01 16:34:00,2024-01-01,16,Monday,0,Delivered,2,1171.17,206.42,122.4,1255.19,278.74,Corporate,32.9,,0,
ORD000106,R089,D240,2024-01-01 12:09:00,2024-01-01,12,Monday,0,Delivered,5,7453.23,225.35,0.0,7678.58,2332.86,UberCash,37.1,,0,3.4
ORD000107,R158,D288,2024-01-01 10:35:00,2024-01-01,10,Monday,0,Delivered,3,8740.76,178.2,0.0,8918.96,2464.89,Cash,44.5,,0,
ORD000108,R065,D265,2024-01-01 19:10:00,2024-01-01,19,Monday,0,Delivered,5,3673.23,137.53,0.0,3810.76,955.04,Card,38.3,,1,
ORD000109,R002,D054,2024-01-01 20:30:00,2024-01-01,20,Monday,0,Cancelled,4,531.6,124.73,0.0,656.33,100.47,Corporate,,Timeout,0,
ORD000110,R177,D172,2024-01-01 18:38:00,2024-01-01,18,Monday,0,Delivered,2,476.06,154.63,62.54,568.15,98.07,UberCash,36.2,,1,
ORD000111,R146,D137,2024-01-01 17:43:00,2024-01-01,17,Monday,0,Delivered,2,1578.99,245.86,87.14,1737.71,375.8,Corporate,29.0,,1,3.0
ORD000112,R020,D054,2024-01-01 15:46:00,2024-01-01,15,Monday,0,Cancelled,5,1110.07,243.76,134.62,1219.21,244.22,Corporate,,,0,
ORD000113,R002,D153,2024-01-01 10:32:00,2024-01-01,10,Monday,0,Delivered,1,165.57,137.79,17.0,286.36,31.29,UberCash,19.3,,0,
ORD000114,R161,D288,2024-01-01 19:48:00,2024-01-01,19,Monday,0,Delivered,4,8691.6,232.41,0.0,8924.01,2546.64,UberCash,43.5,,1,
ORD000115,R063,D136,2024-01-01 19:26:00,2024-01-01,19,Monday,0,Refunded,5,4486.63,199.14,257.79,4427.98,1117.17,UberCash,,Customer cancelled,0,
ORD000116,R158,D106,2024-01-01 14:22:00,2024-01-01,14,Monday,0,Delivered,5,10519.02,241.01,0.0,10760.03,2966.36,Corporate,59.8,,0,3.5
ORD000117,R074,D121,2024-01-01 11:53:00,2024-01-01,11,Monday,0,Delivered,5,1772.11,212.42,27.82,1956.71,377.46,Corporate,42.3,,0,
ORD000118,R155,D024,2024-01-01 20:23:00,2024-01-01,20,Monday,0,Delivered,4,3328.95,229.77,0.0,3558.72,772.32,Cash,24.9,,0,
ORD000119,R078,D234,2024-01-01 10:36:00,2024-01-01,10,Monday,0,Delivered,5,3174.11,161.31,0.0,3335.42,742.74,Corporate,30.4,,0,
ORD000120,R132,D072,2024-01-01 18:29:00,2024-01-01,18,Monday,0,Delivered,1,468.51,115.83,0.0,584.34,126.03,UberCash,25.6,,1,3.5
ORD000121,R176,D204,2024-01-01 12:31:00,2024-01-01,12,Monday,0,Delivered,4,9806.1,143.29,0.0,9949.39,3030.08,Cash,39.7,,1,
ORD000122,R197,D136,2024-01-01 20:46:00,2024-01-01,20,Monday,0,Delivered,2,5214.09,225.57,834.29,4605.37,1418.23,Corporate,56.3,,0,4.0
ORD000123,R182,D188,2024-01-01 19:19:00,2024-01-01,19,Monday,0,Delivered,5,1244.93,96.83,53.65,1288.11,245.25,Card,20.7,,1,3.7
ORD000124,R160,D151,2024-01-01 12:26:00,2024-01-01,12,Monday,0,Delivered,5,2030.12,177.9,0.0,2208.02,473.02,UberCash,19.8,,1,
ORD000125,R129,D046,2024-01-02 12:18:00,2024-01-02,12,Tuesday,0,Delivered,2,2155.11,188.9,0.0,2344.01,506.45,Corporate,31.4,,0,3.3
ORD000126,R065,D187,2024-01-02 12:18:00,2024-01-02,12,Tuesday,0,Delivered,5,4121.39,126.11,0.0,4247.5,1071.56,UberCash,43.2,,0,3.9
ORD000127,R048,D109,2024-01-02 20:08:00,2024-01-02,20,Tuesday,0,Delivered,3,674.87,199.12,22.53,851.46,132.95,Card,14.9,,0,3.1
ORD000128,R114,D050,2024-01-02 08:39:00,2024-01-02,8,Tuesday,0,Delivered,4,3989.1,122.06,499.82,3611.34,1272.52,Cash,24.4,,1,
ORD000129,R092,D284,2024-01-02 13:55:00,2024-01-02,13,Tuesday,0,Delivered,3,4104.19,102.97,0.0,4207.16,1161.49,Corporate,38.9,,0,
ORD000130,R161,D257,2024-01-02 14:40:00,2024-01-02,14,Tuesday,0,Delivered,3,5947.45,118.61,366.21,5699.85,1742.6,Cash,41.4,,1,4.6
ORD000131,R038,D205,2024-01-02 11:34:00,2024-01-02,11,Tuesday,0,Delivered,4,1571.78,161.1,135.31,1597.57,300.21,Cash,21.9,,0,3.4
ORD000132,R160,D259,2024-01-02 13:10:00,2024-01-02,13,Tuesday,0,Delivered,4,2192.38,117.5,274.19,2035.69,510.82,UberCash,30.0,,1,
ORD000133,R075,D242,2024-01-02 10:04:00,2024-01-02,10,Tuesday,0,Delivered,3,1967.51,157.41,0.0,2124.92,527.29,Corporate,38.7,,1,3.1
ORD000134,R152,D014,2024-01-02 10:06:00,2024-01-02,10,Tuesday,0,Delivered,2,3721.14,203.61,112.14,3812.61,1056.8,UberCash,40.9,,1,
ORD000135,R143,D221,2024-01-02 13:50:00,2024-01-02,13,Tuesday,0,Delivered,1,994.17,241.78,154.23,1081.72,238.6,Corporate,20.3,,1,
ORD000136,R071,D226,2024-01-02 20:07:00,2024-01-02,20,Tuesday,0,Refunded,2,2129.61,245.75,423.59,1951.77,577.12,Card,,,0,
ORD000137,R192,D123,2024-01-02 14:43:00,2024-01-02,14,Tuesday,0,Refunded,3,2316.72,203.8,0.0,2520.52,549.06,Card,,Driver unavailable,0,
ORD000138,R139,D178,2024-01-02 10:56:00,2024-01-02,10,Tuesday,0,Delivered,2,4964.75,120.11,0.0,5084.86,1350.41,UberCash,29.7,,1,3.5
ORD000139,R012,D284,2024-01-02 18:09:00,2024-01-02,18,Tuesday,0,Delivered,1,2306.95,164.99,0.0,2471.94,639.03,Card,45.1,,1,
ORD000140,R154,D064,2024-01-02 08:14:00,2024-01-02,8,Tuesday,0,Delivered,5,1100.59,208.64,0.0,1309.23,209.11,Cash,25.0,,1,4.4
ORD000141,R071,D023,2024-01-02 14:28:00,2024-01-02,14,Tuesday,0,Delivered,5,6161.57,112.26,428.43,5845.4,1669.79,UberCash,42.7,,0,4.7
ORD000142,R047,D039,2024-01-02 15:28:00,2024-01-02,15,Tuesday,0,Delivered,3,7934.14,157.19,0.0,8091.33,2356.44,Cash,49.9,,0,
ORD000143,R106,D141,2024-01-02 12:04:00,2024-01-02,12,Tuesday,0,Delivered,5,2319.63,112.28,0.0,2431.91,463.93,Cash,36.8,,0,4.3
ORD000144,R032,D058,2024-01-02 14:04:00,2024-01-02,14,Tuesday,0,Delivered,2,520.11,85.32,19.93,585.5,105.58,Corporate,13.9,,0,4.4
ORD000145,R072,D028,2024-01-02 12:38:00,2024-01-02,12,Tuesday,0,Delivered,1,880.58,115.49,0.0,996.07,230.71,Card,43.7,,1,
ORD000146,R105,D243,2024-01-02 20:50:00,2024-01-02,20,Tuesday,0,Delivered,5,2203.16,86.91,133.91,2156.16,506.73,Card,43.1,,1,3.8
ORD000147,R056,D147,2024-01-02 15:11:00,2024-01-02,15,Tuesday,0,Delivered,5,1548.87,97.94,0.0,1646.81,291.19,Corporate,23.8,,0,3.2
ORD000148,R052,D236,2024-01-02 14:42:00,2024-01-02,14,Tuesday,0,Delivered,5,9247.54,139.9,0.0,9387.44,2681.79,UberCash,57.8,,0,4.3
ORD000149,R091,D142,2024-01-02 15:13:00,2024-01-02,15,Tuesday,0,Delivered,5,2035.7,123.2,0.0,2158.9,405.1,Corporate,26.6,,1,3.6
ORD000150,R006,D081,2024-01-02 23:19:00,2024-01-02,23,Tuesday,0,Delivered,2,4135.49,133.53,0.0,4269.02,1236.51,UberCash,61.1,,0,4.1
ORD000151,R163,D091,2024-01-02 08:29:00,2024-01-02,8,Tuesday,0,Delivered,2,1074.18,231.24,55.05,1250.37,240.62,Corporate,24.8,,1,3.2
ORD000152,R092,D288,2024-01-02 10:52:00,2024-01-02,10,Tuesday,0,Cancelled,5,7703.01,96.21,0.0,7799.22,2179.95,Corporate,,Customer cancelled,0,
ORD000153,R017,D199,2024-01-02 12:52:00,2024-01-02,12,Tuesday,0,Delivered,1,2076.81,118.54,0.0,2195.35,573.2,Card,44.9,,0,
ORD000154,R016,D182,2024-01-02 14:20:00,2024-01-02,14,Tuesday,0,Delivered,2,3703.99,198.62,499.03,3403.58,1111.2,Corporate,59.1,,0,3.2
ORD000155,R124,D174,2024-01-02 19:09:00,2024-01-02,19,Tuesday,0,Delivered,1,1153.61,206.7,0.0,1360.31,342.62,Corporate,29.0,,1,
ORD000156,R037,D081,2024-01-02 14:12:00,2024-01-02,14,Tuesday,0,Delivered,5,2055.23,184.72,0.0,2239.95,462.43,Card,22.0,,1,4.4
ORD000157,R164,D053,2024-01-02 08:26:00,2024-01-02,8,Tuesday,0,Delivered,3,1872.06,138.57,0.0,2010.63,447.42,Cash,40.1,,0,
ORD000158,R127,D086,2024-01-02 13:59:00,2024-01-02,13,Tuesday,0,Delivered,2,5064.06,106.52,0.0,5170.58,1605.31,Card,34.7,,1,
ORD000159,R042,D173,2024-01-02 01:44:00,2024-01-02,1,Tuesday,0,Delivered,3,653.09,83.87,70.27,666.69,120.17,UberCash,18.2,,1,
ORD000160,R041,D011,2024-01-02 12:57:00,2024-01-02,12,Tuesday,0,Delivered,1,224.79,90.22,31.31,283.7,45.41,Corporate,20.6,,0,3.8
ORD000161,R076,D214,2024-01-02 20:01:00,2024-01-02,20,Tuesday,0,Delivered,4,2803.56,144.72,0.0,2948.28,653.23,UberCash,20.6,,1,3.2
ORD000162,R057,D297,2024-01-02 22:35:00,2024-01-02,22,Tuesday,0,Cancelled,1,1295.59,236.79,0.0,1532.38,361.47,Cash,,Customer cancelled,0,
ORD000163,R099,D209,2024-01-02 12:19:00,2024-01-02,12,Tuesday,0,Delivered,5,3429.53,90.54,265.56,3254.51,823.09,Card,47.3,,0,
ORD000164,R064,D089,2024-01-02 12:25:00,2024-01-02,12,Tuesday,0,Delivered,1,893.89,168.52,0.0,1062.41,232.41,Cash,43.9,,1,3.9
