restaurant_id,month,year,commission_rate,avg_item_price_lkr,pricing_tier,category
R010,8,2024,0.226,631.06,Mid-range,Kottu
R010,9,2024,0.224,688.68,Mid-range,Kottu
R010,10,2024,0.215,700.05,Mid-range,Kottu
R010,11,2024,0.222,681.12,Mid-range,Kottu
R010,12,2024,0.22,754.91,Mid-range,Kottu
R011,1,2024,0.297,1084.65,Premium,Pizza
R011,2,2024,0.302,1159.26,Premium,Pizza
R011,3,2024,0.319,1119.87,Premium,Pizza
R011,4,2024,0.334,1143.71,Premium,Pizza
R011,5,2024,0.333,1198.38,Premium,Pizza
R011,6,2024,0.318,1150.69,Premium,Pizza
R011,7,2024,0.32,1138.62,Premium,Pizza
R011,8,2024,0.331,1222.07,Premium,Pizza
R011,9,2024,0.345,1236.19,Premium,Pizza
R011,10,2024,0.343,1317.71,Premium,Pizza
R011,11,2024,0.357,1398.9,Premium,Pizza
R011,12,2024,0.355,1448.87,Premium,Pizza
R012,1,2024,0.269,2499.7,Premium,Seafood
R012,2,2024,0.262,2577.35,Premium,Seafood
R012,3,2024,0.257,2533.96,Premium,Seafood
R012,4,2024,0.274,2575.64,Premium,Seafood
R012,5,2024,0.276,2671.51,Premium,Seafood
R012,6,2024,0.286,2679.53,Premium,Seafood
R012,7,2024,0.27,2763.36,Premium,Seafood
R012,8,2024,0.28,2813.55,Premium,Seafood
R012,9,2024,0.262,2905.13,Premium,Seafood
R012,10,2024,0.263,2986.44,Premium,Seafood
R012,11,2024,0.273,2941.83,Premium,Seafood
R012,12,2024,0.281,2985.02,Premium,Seafood
R013,1,2024,0.186,389.89,Budget,Pizza
R013,2,2024,0.191,341.32,Budget,Pizza
R013,3,2024,0.177,367.98,Budget,Pizza
R013,4,2024,0.191,440.21,Budget,Pizza
R013,5,2024,0.204,481.79,Budget,Pizza
R013,6,2024,0.193,534.08,Budget,Pizza
R013,7,2024,0.211,617.81,Budget,Pizza
R013,8,2024,0.207,590.02,Budget,Pizza
R013,9,2024,0.218,613.41,Budget,Pizza
R013,10,2024,0.234,647.61,Budget,Pizza
R013,11,2024,0.233,732.67,Budget,Pizza
R013,12,2024,0.225,797.16,Budget,Pizza
R014,1,2024,0.296,2386.22,Premium,Sandwiches
R014,2,2024,0.289,2452.93,Premium,Sandwiches
R014,3,2024,0.301,2548.89,Premium,Sandwiches
R014,4,2024,0.281,2567.43,Premium,Sandwiches
R014,5,2024,0.289,2643.62,Premium,Sandwiches
R014,6,2024,0.272,2689.16,Premium,Sandwiches
R014,7,2024,0.278,2707.38,Premium,Sandwiches
R014,8,2024,0.266,2752.31,Premium,Sandwiches
R014,9,2024,0.258,2779.93,Premium,Sandwiches
R014,10,2024,0.261,2764.6,Premium,Sandwiches
R014,11,2024,0.274,2798.94,Premium,Sandwiches
R014,12,2024,0.273,2866.68,Premium,Sandwiches
R015,1,2024,0.26,631.84,Mid-range,Burgers
R015,2,2024,0.255,664.1,Mid-range,Burgers
R015,3,2024,0.242,644.93,Mid-range,Burgers
R015,4,2024,0.222,630.45,Mid-range,Burgers
R015,5,2024,0.207,680.5,Mid-range,Burgers
R015,6,2024,0.218,753.59,Mid-range,Burgers
R015,7,2024,0.205,765.67,Mid-range,Burgers
R015,8,2024,0.21,854.87,Mid-range,Burgers
R015,9,2024,0.229,867.86,Mid-range,Burgers
R015,10,2024,0.225,826.95,Mid-range,Burgers
R015,11,2024,0.226,810.11,Mid-range,Burgers
R015,12,2024,0.207,812.47,Mid-range,Burgers
R016,1,2024,0.283,1918.95,Premium,Kottu
R016,2,2024,0.291,2017.11,Premium,Kottu
R016,3,2024,0.296,2016.51,Premium,Kottu
R016,4,2024,0.278,1994.8,Premium,Kottu
R016,5,2024,0.289,1990.81,Premium,Kottu
R016,6,2024,0.286,1943.17,Premium,Kottu
R016,7,2024,0.297,1988.19,Premium,Kottu
R016,8,2024,0.281,1945.83,Premium,Kottu
R016,9,2024,0.276,2028.94,Premium,Kottu
R016,10,2024,0.266,2083.08,Premium,Kottu
R016,11,2024,0.283,2124.67,Premium,Kottu
R016,12,2024,0.289,2219.31,Premium,Kottu
R017,1,2024,0.29,1741.82,Premium,Indian
R017,2,2024,0.297,1758.31,Premium,Indian
R017,3,2024,0.309,1840.1,Premium,Indian
R017,4,2024,0.312,1938.3,Premium,Indian
R017,5,2024,0.308,1951.99,Premium,Indian
R017,6,2024,0.301,1962.78,Premium,Indian
R017,7,2024,0.287,2032.96,Premium,Indian
R017,8,2024,0.282,1988.69,Premium,Indian
R017,9,2024,0.291,2076.23,Premium,Indian
R017,10,2024,0.277,2074.23,Premium,Indian
R017,11,2024,0.267,2136.47,Premium,Indian
R017,12,2024,0.252,2192.69,Premium,Indian
R018,1,2024,0.25,932.68,Mid-range,Rice & Curry
R018,2,2024,0.258,894.09,Mid-range,Rice & Curry
R018,3,2024,0.256,909.41,Mid-range,Rice & Curry
R018,4,2024,0.252,1002.4,Mid-range,Rice & Curry
R018,5,2024,0.254,1055.2,Mid-range,Rice & Curry
R018,6,2024,0.273,1072.09,Mid-range,Rice & Curry
R018,7,2024,0.261,1041.86,Mid-range,Rice & Curry
R018,8,2024,0.269,1090.18,Mid-range,Rice & Curry
R018,9,2024,0.278,1134.53,Mid-range,Rice & Curry
R018,10,2024,0.263,1202.98,Mid-range,Rice & Curry
R018,11,2024,0.262,1184.42,Mid-range,Rice & Curry
R018,12,2024,0.276,1215.96,Mid-range,Rice & Curry
R019,1,2024,0.287,1684.29,Premium,Pizza
R019,2,2024,0.281,1780.33,Premium,Pizza
R019,3,2024,0.264,1794.59,Premium,Pizza
R019,4,2024,0.25,1830.19,Premium,Pizza
R019,5,2024,0.255,1890.37,Premium,Pizza
R019,6,2024,0.241,1924.43,Premium,Pizza
R019,7,2024,0.232,1934.94,Premium,Pizza
R019,8,2024,0.247,1916.99,Premium,Pizza
R019,9,2024,0.238,2015.19,Premium,Pizza
R019,10,2024,0.247,2073.9,Premium,Pizza
R019,11,2024,0.258,2169.74,Premium,Pizza
R019,12,2024,0.261,2132.1,Premium,Pizza
R020,1,2024,0.222,195.37,Budget,Chinese
R020,2,2024,0.22,183.51,Budget,Chinese
R020,3,2024,0.211,202.62,Budget,Chinese
R020,4,2024,0.212,222.56,Budget,Chinese
R020,5,2024,0.204,286.9,Budget,Chinese
R020,6,2024,0.211,244.52,Budget,Chinese
R020,7,2024,0.195,213.6,Budget,Chinese
R020,8,2024,0.177,241.46,Budget,Chinese
R020,9,2024,0.175,305.05,Budget,Chinese
R020,10,2024,0.188,329.12,Budget,Chinese
R020,11,2024,0.17,343.62,Budget,Chinese
R020,12,2024,0.19,405.8,Budget,Chinese
R021,1,2024,0.211,317.59,Budget,Chinese
R021,2,2024,0.193,332.96,Budget,Chinese
R021,3,2024,0.191,377.6,Budget,Chinese
R021,4,2024,0.191,343.52,Budget,Chinese
R021,5,2024,0.18,328.03,Budget,Chinese
R021,6,2024,0.186,280.11,Budget,Chinese
R021,7,2024,0.198,322.09,Budget,Chinese
R021,8,2024,0.199,353.62,Budget,Chinese
R021,9,2024,0.183,335.26,Budget,Chinese
R021,10,2024,0.178,351.13,Budget,Chinese
R021,11,2024,0.187,447.39,Budget,Chinese
R021,12,2024,0.178,445.75,Budget,Chinese
R022,1,2024,0.332,2381.14,Premium,Chinese
R022,2,2024,0.341,2381.15,Premium,Chinese
R022,3,2024,0.333,2405.78,Premium,Chinese
R022,4,2024,0.321,2449.56,Premium,Chinese
R022,5,2024,0.329,2461.54,Premium,Chinese
R022,6,2024,0.324,2515.78,Premium,Chinese
R022,7,2024,0.321,2552.76,Premium,Chinese
R022,8,2024,0.311,2592.07,Premium,Chinese
R022,9,2024,0.326,2617.94,Premium,Chinese
R022,10,2024,0.324,2621.04,Premium,Chinese
R022,11,2024,0.341,2583.99,Premium,Chinese
R022,12,2024,0.323,2588.92,Premium,Chinese
R023,1,2024,0.246,820.15,Mid-range,Sandwiches
R023,2,2024,0.25,915.97,Mid-range,Sandwiches
R023,3,2024,0.236,916.48,Mid-range,Sandwiches
R023,4,2024,0.228,878.51,Mid-range,Sandwiches
R023,5,2024,0.23,946.13,Mid-range,Sandwiches
R023,6,2024,0.223,973.26,Mid-range,Sandwiches
R023,7,2024,0.236,942.86,Mid-range,Sandwiches
R023,8,2024,0.217,978.11,Mid-range,Sandwiches
R023,9,2024,0.222,1061.43,Mid-range,Sandwiches
R023,10,2024,0.226,1055.8,Mid-range,Sandwiches
R023,11,2024,0.24,1125.14,Mid-range,Sandwiches
R023,12,2024,0.24,1077.49,Mid-range,Sandwiches
R024,1,2024,0.24,742.48,Mid-range,Burgers
R024,2,2024,0.221,837.25,Mid-range,Burgers
R024,3,2024,0.204,812.65,Mid-range,Burgers
R024,4,2024,0.19,912.15,Mid-range,Burgers
R024,5,2024,0.197,863.76,Mid-range,Burgers
R024,6,2024,0.178,837.74,Mid-range,Burgers
R024,7,2024,0.181,850.64,Mid-range,Burgers
R024,8,2024,0.188,841.84,Mid-range,Burgers
R024,9,2024,0.198,864.35,Mid-range,Burgers
R024,10,2024,0.216,921.5,Mid-range,Burgers
R024,11,2024,0.197,918.22,Mid-range,Burgers
R024,12,2024,0.187,991.75,Mid-range,Burgers
R025,1,2024,0.306,2155.96,Premium,Rice & Curry
R025,2,2024,0.314,2130.02,Premium,Rice & Curry
R025,3,2024,0.319,2105.68,Premium,Rice & Curry
R025,4,2024,0.321,2141.98,Premium,Rice & Curry
R025,5,2024,0.303,2164.65,Premium,Rice & Curry
R025,6,2024,0.303,2145.36,Premium,Rice & Curry
R025,7,2024,0.312,2201.14,Premium,Rice & Curry
R025,8,2024,0.314,2231.99,Premium,Rice & Curry
R025,9,2024,0.311,2261.87,Premium,Rice & Curry
R025,10,2024,0.31,2356.35,Premium,Rice & Curry
R025,11,2024,0.314,2403.19,Premium,Rice & Curry
R025,12,2024,0.303,2378.49,Premium,Rice & Curry
R026,1,2024,0.249,517.34,Mid-range,Desserts
R026,2,2024,0.268,595.19,Mid-range,Desserts
R026,3,2024,0.279,639.03,Mid-range,Desserts
R026,4,2024,0.266,624.54,Mid-range,Desserts
R026,5,2024,0.256,590.75,Mid-range,Desserts
R026,6,2024,0.238,670.28,Mid-range,Desserts
R026,7,2024,0.227,748.36,Mid-range,Desserts
R026,8,2024,0.245,753.61,Mid-range,Desserts
R026,9,2024,0.238,754.76,Mid-range,Desserts
R026,10,2024,0.239,733.01,Mid-range,Desserts
R026,11,2024,0.256,697.98,Mid-range,Desserts
R026,12,2024,0.274,701.17,Mid-range,Desserts
R027,1,2024,0.323,2548.6,Premium,Rice & Curry
R027,2,2024,0.332,2538.8,Premium,Rice & Curry
R027,3,2024,0.313,2492.59,Premium,Rice & Curry
R027,4,2024,0.329,2501.21,Premium,Rice & Curry
R027,5,2024,0.311,2529.22,Premium,Rice & Curry
R027,6,2024,0.317,2579.77,Premium,Rice & Curry
R027,7,2024,0.314,2665.48,Premium,Rice & Curry
R027,8,2024,0.313,2747.96,Premium,Rice & Curry
R027,9,2024,0.315,2843.26,Premium,Rice & Curry
R027,10,2024,0.301,2795.11,Premium,Rice & Curry
R027,11,2024,0.292,2808.44,Premium,Rice & Curry
R027,12,2024,0.308,2771.82,Premium,Rice & Curry
R028,1,2024,0.207,193.27,Budget,Beverages
R028,2,2024,0.208,215.52,Budget,Beverages
R028,3,2024,0.201,263.51,Budget,Beverages
R028,4,2024,0.189,357.53,Budget,Beverages
R028,5,2024,0.175,312.76,Budget,Beverages
R028,6,2024,0.172,277.07,Budget,Beverages
R028,7,2024,0.186,282.74,Budget,Beverages
R028,8,2024,0.199,261.76,Budget,Beverages
R028,9,2024,0.204,246.63,Budget,Beverages
R028,10,2024,0.19,211.65,Budget,Beverages
R028,11,2024,0.207,261.06,Budget,Beverages
R028,12,2024,0.196,298.03,Budget,Beverages
R029,1,2024,0.273,692.35,Mid-range,Beverages
R029,2,2024,0.274,780.98,Mid-range,Beverages
R029,3,2024,0.286,801.61,Mid-range,Beverages
R029,4,2024,0.281,787.06,Mid-range,Beverages
R029,5,2024,0.264,790.24,Mid-range,Beverages
R029,6,2024,0.253,853.47,Mid-range,Beverages
R029,7,2024,0.247,893.53,Mid-range,Beverages
R029,8,2024,0.23,984.36,Mid-range,Beverages
R029,9,2024,0.234,963.46,Mid-range,Beverages
R029,10,2024,0.241,991.9,Mid-range,Beverages
R029,11,2024,0.259,1011.3,Mid-range,Beverages
R029,12,2024,0.245,1084.57,Mid-range,Beverages
R030,1,2024,0.204,298.01,Budget,Chinese
R030,2,2024,0.184,249.85,Budget,Chinese
R030,3,2024,0.164,343.14,Budget,Chinese
R030,4,2024,0.173,316.0,Budget,Chinese
R030,5,2024,0.186,402.81,Budget,Chinese
R030,6,2024,0.167,423.35,Budget,Chinese
R030,7,2024,0.149,411.24,Budget,Chinese
R030,8,2024,0.144,465.76,Budget,Chinese
R030,9,2024,0.15,417.3,Budget,Chinese
R030,10,2024,0.132,493.12,Budget,Chinese
R030,11,2024,0.143,577.31,Budget,Chinese
R030,12,2024,0.138,540.11,Budget,Chinese
R031,1,2024,0.267,2438.93,Premium,Pizza
R031,2,2024,0.249,2388.98,Premium,Pizza
R031,3,2024,0.266,2465.98,Premium,Pizza
R031,4,2024,0.258,2425.68,Premium,Pizza
R031,5,2024,0.239,2519.82,Premium,Pizza
R031,6,2024,0.237,2531.5,Premium,Pizza
R031,7,2024,0.229,2621.24,Premium,Pizza
R031,8,2024,0.229,2607.33,Premium,Pizza
R031,9,2024,0.222,2615.28,Premium,Pizza
R031,10,2024,0.231,2684.44,Premium,Pizza
R031,11,2024,0.244,2753.42,Premium,Pizza
R031,12,2024,0.253,2716.95,Premium,Pizza
R032,1,2024,0.192,254.38,Budget,Burgers
R032,2,2024,0.183,256.57,Budget,Burgers
R032,3,2024,0.187,283.45,Budget,Burgers
R032,4,2024,0.189,308.65,Budget,Burgers
R032,5,2024,0.199,288.65,Budget,Burgers
R032,6,2024,0.182,274.98,Budget,Burgers
R032,7,2024,0.178,304.29,Budget,Burgers
R032,8,2024,0.186,353.51,Budget,Burgers
R032,9,2024,0.176,365.24,Budget,Burgers
R032,10,2024,0.158,425.64,Budget,Burgers
R032,11,2024,0.139,385.77,Budget,Burgers
R032,12,2024,0.133,435.2,Budget,Burgers
R033,1,2024,0.272,2352.99,Premium,Sandwiches
R033,2,2024,0.284,2370.26,Premium,Sandwiches
R033,3,2024,0.288,2345.55,Premium,Sandwiches
R033,4,2024,0.269,2385.8,Premium,Sandwiches
R033,5,2024,0.278,2366.94,Premium,Sandwiches
R033,6,2024,0.277,2393.59,Premium,Sandwiches
R033,7,2024,0.289,2465.12,Premium,Sandwiches
R033,8,2024,0.305,2481.83,Premium,Sandwiches
R033,9,2024,0.296,2441.12,Premium,Sandwiches
R033,10,2024,0.304,2510.86,Premium,Sandwiches
R033,11,2024,0.309,2499.74,Premium,Sandwiches
R033,12,2024,0.309,2575.54,Premium,Sandwiches
R034,1,2024,0.302,2387.06,Premium,Beverages
R034,2,2024,0.306,2397.66,Premium,Beverages
R034,3,2024,0.318,2369.76,Premium,Beverages
R034,4,2024,0.326,2330.77,Premium,Beverages
R034,5,2024,0.339,2301.94,Premium,Beverages
R034,6,2024,0.337,2336.27,Premium,Beverages
R034,7,2024,0.318,2290.77,Premium,Beverages
R034,8,2024,0.304,2309.2,Premium,Beverages
R034,9,2024,0.317,2291.65,Premium,Beverages
R034,10,2024,0.329,2355.25,Premium,Beverages
R034,11,2024,0.325,2325.01,Premium,Beverages
R034,12,2024,0.337,2336.53,Premium,Beverages
R035,1,2024,0.172,239.39,Budget,Sandwiches
R035,2,2024,0.159,244.55,Budget,Sandwiches
R035,3,2024,0.146,328.99,Budget,Sandwiches
R035,4,2024,0.16,343.81,Budget,Sandwiches
R035,5,2024,0.154,369.35,Budget,Sandwiches
R035,6,2024,0.167,388.38,Budget,Sandwiches
R035,7,2024,0.151,462.92,Budget,Sandwiches
R035,8,2024,0.144,545.93,Budget,Sandwiches
R035,9,2024,0.131,578.03,Budget,Sandwiches
R035,10,2024,0.145,607.95,Budget,Sandwiches
R035,11,2024,0.146,574.42,Budget,Sandwiches
R035,12,2024,0.157,560.91,Budget,Sandwiches
R036,1,2024,0.273,824.9,Mid-range,Pizza
R036,2,2024,0.264,827.39,Mid-range,Pizza
R036,3,2024,0.268,854.1,Mid-range,Pizza
R036,4,2024,0.283,904.44,Mid-range,Pizza
R036,5,2024,0.264,951.65,Mid-range,Pizza
R036,6,2024,0.28,1042.44,Mid-range,Pizza
R036,7,2024,0.286,1108.01,Mid-range,Pizza
R036,8,2024,0.295,1073.43,Mid-range,Pizza
R036,9,2024,0.281,1141.35,Mid-range,Pizza
R036,10,2024,0.301,1115.03,Mid-range,Pizza
R036,11,2024,0.299,1203.26,Mid-range,Pizza
R036,12,2024,0.284,1183.28,Mid-range,Pizza
R037,1,2024,0.207,446.2,Mid-range,Pizza
R037,2,2024,0.207,486.81,Mid-range,Pizza
R037,3,2024,0.221,517.95,Mid-range,Pizza
R037,4,2024,0.236,517.25,Mid-range,Pizza
R037,5,2024,0.248,575.22,Mid-range,Pizza
R037,6,2024,0.228,534.62,Mid-range,Pizza
R037,7,2024,0.247,496.25,Mid-range,Pizza
R037,8,2024,0.253,566.77,Mid-range,Pizza
R037,9,2024,0.263,580.24,Mid-range,Pizza
R037,10,2024,0.249,600.35,Mid-range,Pizza
R037,11,2024,0.229,604.9,Mid-range,Pizza
R037,12,2024,0.224,596.79,Mid-range,Pizza
R038,1,2024,0.201,325.82,Budget,Chinese
R038,2,2024,0.213,281.86,Budget,Chinese
R038,3,2024,0.197,281.94,Budget,Chinese
R038,4,2024,0.189,379.45,Budget,Chinese
R038,5,2024,0.17,387.63,Budget,Chinese
R038,6,2024,0.182,351.44,Budget,Chinese
R038,7,2024,0.178,312.49,Budget,Chinese
R038,8,2024,0.195,381.95,Budget,Chinese
R038,9,2024,0.185,350.55,Budget,Chinese
R038,10,2024,0.182,444.2,Budget,Chinese
R038,11,2024,0.189,479.65,Budget,Chinese
R038,12,2024,0.188,544.75,Budget,Chinese
R039,1,2024,0.174,265.98,Budget,Desserts
R039,2,2024,0.176,284.89,Budget,Desserts
R039,3,2024,0.185,240.98,Budget,Desserts
R039,4,2024,0.181,279.23,Budget,Desserts
R039,5,2024,0.163,314.41,Budget,Desserts
R039,6,2024,0.173,358.55,Budget,Desserts
R039,7,2024,0.157,309.72,Budget,Desserts
R039,8,2024,0.151,290.04,Budget,Desserts
R039,9,2024,0.136,341.99,Budget,Desserts
R039,10,2024,0.137,347.28,Budget,Desserts
R039,11,2024,0.144,412.8,Budget,Desserts
R039,12,2024,0.134,398.84,Budget,Desserts
R040,1,2024,0.272,1631.5,Premium,Sandwiches
R040,2,2024,0.29,1702.76,Premium,Sandwiches
R040,3,2024,0.292,1744.56,Premium,Sandwiches
R040,4,2024,0.293,1720.42,Premium,Sandwiches
R040,5,2024,0.278,1799.92,Premium,Sandwiches
R040,6,2024,0.282,1890.14,Premium,Sandwiches
R040,7,2024,0.289,1984.88,Premium,Sandwiches
R040,8,2024,0.276,2073.2,Premium,Sandwiches
R040,9,2024,0.29,2118.93,Premium,Sandwiches
R040,10,2024,0.289,2141.84,Premium,Sandwiches
R040,11,2024,0.291,2162.53,Premium,Sandwiches
R040,12,2024,0.278,2173.98,Premium,Sandwiches
R041,1,2024,0.195,314.31,Budget,Rice & Curry
R041,2,2024,0.195,348.67,Budget,Rice & Curry
R041,3,2024,0.18,439.87,Budget,Rice & Curry
R041,4,2024,0.165,446.5,Budget,Rice & Curry
R041,5,2024,0.168,458.78,Budget,Rice & Curry
R041,6,2024,0.172,554.35,Budget,Rice & Curry
R041,7,2024,0.155,630.18,Budget,Rice & Curry
R041,8,2024,0.157,663.06,Budget,Rice & Curry
R041,9,2024,0.169,734.76,Budget,Rice & Curry
R041,10,2024,0.178,805.96,Budget,Rice & Curry
R041,11,2024,0.188,845.61,Budget,Rice & Curry
R041,12,2024,0.178,906.72,Budget,Rice & Curry
R042,1,2024,0.204,248.58,Budget,Chinese
R042,2,2024,0.221,333.56,Budget,Chinese
R042,3,2024,0.222,321.81,Budget,Chinese
R042,4,2024,0.233,327.99,Budget,Chinese
R042,5,2024,0.244,316.11,Budget,Chinese
R042,6,2024,0.25,399.66,Budget,Chinese
R042,7,2024,0.26,413.92,Budget,Chinese
R042,8,2024,0.241,502.16,Budget,Chinese
R042,9,2024,0.238,571.98,Budget,Chinese
R042,10,2024,0.249,579.15,Budget,Chinese
R042,11,2024,0.255,587.91,Budget,Chinese
R042,12,2024,0.247,562.06,Budget,Chinese
R043,1,2024,0.308,1213.1,Premium,Chinese
R043,2,2024,0.311,1232.45,Premium,Chinese
R043,3,2024,0.314,1247.02,Premium,Chinese
R043,4,2024,0.302,1244.46,Premium,Chinese
R043,5,2024,0.299,1325.61,Premium,Chinese
R043,6,2024,0.293,1413.27,Premium,Chinese
R043,7,2024,0.311,1501.01,Premium,Chinese
R043,8,2024,0.311,1551.28,Premium,Chinese
R043,9,2024,0.325,1628.84,Premium,Chinese
R043,10,2024,0.341,1635.24,Premium,Chinese
R043,11,2024,0.352,1649.27,Premium,Chinese
R043,12,2024,0.356,1688.74,Premium,Chinese
R044,1,2024,0.323,2034.1,Premium,Desserts
R044,2,2024,0.306,2082.59,Premium,Desserts
R044,3,2024,0.292,2098.22,Premium,Desserts
R044,4,2024,0.301,2102.52,Premium,Desserts
R044,5,2024,0.307,2180.06,Premium,Desserts
R044,6,2024,0.323,2267.54,Premium,Desserts
R044,7,2024,0.322,2260.1,Premium,Desserts
R044,8,2024,0.306,2272.84,Premium,Desserts
